Stock,Article_cnt,Negative_sim,Positive_sim,Score,Ranking
두산중공업,138,0.01776105831464726,0.026600499226865457,139.2198428458861,140.0
현대해상,132,0.026936492911788068,0.04380278721220645,134.22635084765523,141.0
삼성카드,126,0.026219087107750057,0.03189998452884909,126.71579307505849,142.0
한화투자증권,126,0.02620606337611536,0.02745495578841292,126.15736044394949,143.0
코웨이,120,0.026934297362517543,0.04022011495399922,121.59429811097779,144.0
하이브,120,0.02121116293408663,0.025052135659574395,120.46091672705853,145.0
한샘,108,0.022475639536697904,0.03870866399372876,109.75316664135933,146.0
풍산,102,0.03335349733058693,0.05621400679787959,104.33177196566385,147.0
한국타이어앤테크놀로지,102,0.03865169012034392,0.05593369794970757,103.76276479859509,148.0
아이에스동서,96,0.036466110514987694,0.05724039954053439,97.99433174645247,149.0
에스원,96,0.05230298836404018,0.06565492515022173,97.28178593147344,150.0
유한양행,84,0.02639906048498063,0.06384522876281443,87.14547813533804,151.0
SK바이오사이언스,84,0.018713678547528603,0.04172332731660057,85.93281049660203,152.0
대한전선,78,0.07400291240340154,0.1221992728532971,81.75931611509186,153.0
SK디앤디,78,0.024637800157372918,0.04674812876653908,79.72460563151496,154.0
코오롱글로벌,78,0.029005445480267317,0.04531158952310876,79.27187923534163,155.0
현대일렉트릭,78,0.024939578684974147,0.035937894064230265,78.85786859958198,156.0
한미약품,72,0.03598118691991738,0.06490550730471743,74.0825510677056,157.0
한국콜마,72,0.02605098838571959,0.03699714294499232,72.78812312826764,158.0
HMM,72,0.021121384906434757,0.03183468396756431,72.77135753240134,159.0
호텔신라,72,0.03376333667189441,0.044008323627629,72.7376390608129,160.0
SK케미칼,72,0.033293472440113665,0.0423893142752675,72.65490061213109,161.0
동원시스템즈,72,0.032996275861342544,0.04040756934060118,72.53361313050662,162.0
신한지주,72,0.03790903411862364,0.04529155902127535,72.53154179299094,163.0
넥스트사이언스,66,0.05764759532940212,0.0987342924693112,68.711722011234,164.0
메리츠화재,67,0.02451308429486182,0.030248916569873812,67.38430076242581,165.0
메리츠증권,66,0.02459889593765825,0.03496049483319473,66.68386552710541,166.0
한국앤컴퍼니,66,0.024175054929945348,0.032481478274637286,66.54822394074966,167.0
GKL,66,0.021705895837440526,0.026342804559190414,66.3060359756355,168.0
SK바이오팜,60,0.027347957200956723,0.08797592089391694,63.63767782157762,169.0
NICE,60,0.02812672443447641,0.035937579101889335,60.468651280044774,170.0
셀트리온,60,0.023580814687668504,0.029613986186523153,60.36199028993128,171.0
고려아연,58,0.03230603083989783,0.06079247010756438,59.652213477524654,172.0
대우조선해양,54,0.042333148873165874,0.04925578562331819,54.37382238450822,173.0
삼성중공업,54,0.03311510125480056,0.037706727361927116,54.24794780978483,174.0
SK디스커버리,48,0.027670371589382705,0.1056785065577424,51.744390478481264,175.0
롯데정밀화학,48,0.026815731518362834,0.0560110176306129,49.401373733388,176.0
현대중공업지주,48,0.030557865844045098,0.055319489619105267,49.18855794120289,177.0
롯데관광개발,48,0.029835911258817058,0.04642514294043821,48.79628312071782,178.0
한전KPS,48,0.028573081371638553,0.04017571461761304,48.55692639580677,179.0
아주스틸,42,0.03581059486148939,0.07129406897377256,43.49030591271589,180.0
두산인프라코어,42,0.04268709277047361,0.059479489204127836,42.70528065021348,181.0
유안타증권,42,0.032132208018268826,0.04601708950522372,42.58316502245211,182.0
SK네트웍스,42,0.04058434475166718,0.05295082493320792,42.519392167624716,183.0
LX하우시스,36,0.03908820350200545,0.1302187359419788,39.28069916783904,184.0
보령제약,36,0.04594080820695391,0.11959561590008023,38.651573076952545,185.0
BNK금융지주,36,0.052114813579558356,0.08843224237999735,37.30742743681581,186.0
키움증권,36,0.04353383584661535,0.07836683330611321,37.25398790854192,187.0
동원산업,36,0.02398498503327493,0.045461827681319414,36.773166335329606,188.0
다우기술,36,0.10773357841999294,0.12673670257776942,36.68411246967995,189.0
진에어,36,0.05291175883895555,0.056964175310623796,36.14588699298005,190.0
아모레G,30,0.05163612120946917,0.07036481002980026,30.56186066460993,191.0
한미사이언스,24,0.06043061683588785,0.15198123697033442,26.197214883226714,192.0
경동나비엔,24,0.056988165900493014,0.12163281770978483,25.551471643423003,193.0
