종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"011790","SKC","173500","8500","5.15","165000","173500","163500","720840","122647306500","6570149703000","37868298"
"018670","SK가스","152500","14000","10.11","139500","155000","139000","107909","16032050500","1407612210000","9230244"
"001740","SK네트웍스","5450","-10","-0.18","5450","5510","5410","390198","2128323090","1352622676150","248187647"
"001745","SK네트웍스우","102000","1000","0.99","100500","102000","100500","93","9443000","11592096000","113648"
"006120","SK디스커버리","49300","300","0.61","49200","50200","48950","136820","6784563650","938566251500","19037855"
"006125","SK디스커버리우","44050","400","0.92","44400","45200","43650","80760","3590668000","59839942750","1358455"
"210980","SK디앤디","37750","100","0.27","37650","38000","37250","37769","1421568000","837678691000","22190164"
"068400","SK렌터카","12850","50","0.39","12800","13000","12700","43501","558975050","607623044000","47285840"
"302440","SK바이오사이언스","299500","1500","0.50","302500","308500","295000","498577","149847393500","22911750000000","76500000"
"326030","SK바이오팜","113500","-1000","-0.87","114000","115500","113500","238610","27191765500","8888553875000","78313250"
"361610","SK아이이테크놀로지","225500","15500","7.38","210500","225500","210000","982443","217246344500","16077606996000","71297592"
"03473K","SK우","245500","500","0.20","246500","246500","244500","1182","289648000","138986142500","566135"
"096770","SK이노베이션","250000","3000","1.21","248000","251000","244000","386934","96040807000","23116391000000","92465564"
"096775","SK이노베이션우","155500","0","0.00","154000","157000","154000","3593","558668500","194130243000","1248426"
"001510","SK증권","928","3","0.32","925","931","913","1733149","1599386901","438563678688","472590171"
"001515","SK증권우","4385","150","3.54","4600","4600","4330","20042","88960275","17156373890","3912514"
"285130","SK케미칼","301000","-2500","-0.82","303000","311000","298500","268941","81892935500","3537170196000","11751396"
"28513K","SK케미칼우","178000","-6000","-3.26","182000","186000","176000","120176","21639812500","259643260000","1458670"
"017670","SK텔레콤","307000","5500","1.82","303500","309500","302500","233552","71645370000","22122463901000","72060143"
"000660","SK하이닉스","105000","2000","1.94","103500","105500","103000","1999369","208765953000","76440248325000","728002365"
"064960","SNT모티브","54400","400","0.74","54000","54900","53500","25055","1361106500","795498598400","14623136"
"100840","SNT에너지","20800","-750","-3.48","21400","21600","20650","60982","1281765350","156139588800","7506711"
"003570","SNT중공업","10300","50","0.49","10200","10350","10150","18938","194075750","342502779100","33252697"
"036530","SNT홀딩스","18800","-50","-0.27","18800","18800","18550","7612","142097000","306513056800","16303886"
"005610","SPC삼립","81200","1500","1.88","79700","81200","79700","7399","595893800","700675530800","8629009"
"011810","STX","4820","0","0.00","4860","4860","4755","103080","495365540","129505206000","26868300"
"077970","STX엔진","11150","-250","-2.19","11350","11400","11050","38081","424478750","256549279600","23008904"
"071970","STX중공업","5680","-170","-2.91","5850","5850","5630","329675","1878124700","161118743680","28365976"
"002820","SUN&L","5740","0","0.00","5720","5750","5600","20351","115017400","72369856860","12607989"
"084870","TBH글로벌","3145","-115","-3.53","3260","3690","3130","2030011","6974456110","65594695755","20856819"
"002710","TCC스틸","8910","-1290","-12.65","10400","10400","8840","3955916","36349059250","209385000000","23500000"
"002900","TYM","2320","-15","-0.64","2340","2360","2275","2786062","6456615780","327966206080","141364744"
"024070","WISCOM","4770","325","7.31","4445","4770","4360","680817","3173236470","73107109260","15326438"
"037270","YG PLUS","7400","-40","-0.54","7520","7520","7070","1044484","7606673210","469377634000","63429410"
"000500","가온전선","30000","100","0.33","29900","30150","29350","9284","276264550","124810410000","4160347"
"000860","강남제비스코","27650","-150","-0.54","27700","27900","27150","10009","274752350","179725000000","6500000"
"035250","강원랜드","28050","400","1.45","27650","28250","27650","643008","17998220700","6001031025000","213940500"
"011420","갤럭시아에스엠","2330","45","1.97","2275","2345","2215","404243","921389215","64190670520","27549644"
"002100","경농","14300","350","2.51","13900","14300","13600","69603","972223300","279172822500","19522575"
"009450","경동나비엔","66400","-1100","-1.63","67000","67900","66400","41261","2755188800","903354072000","13604730"
"267290","경동도시가스","23850","350","1.49","23600","24000","23150","27920","661086550","140605433100","5895406"
"012320","경동인베스트","37200","750","2.06","36550","37200","36400","2112","77471850","87978855600","2365023"
"000050","경방","13650","-50","-0.36","13800","13800","13550","11579","157502850","374218435500","27415270"
"214390","경보제약","11650","-200","-1.69","11800","11900","11450","135221","1572728000","278514919000","23906860"
"012610","경인양행","6980","-10","-0.14","6970","7030","6930","135300","942241290","289993627700","41546365"
"009140","경인전자","28200","0","0.00","28200","28200","27600","8173","227837200","44296475400","1570797"
"013580","계룡건설","41600","950","2.34","40800","41850","39650","104848","4289617150","371525731200","8930907"
"012200","계양전기","4665","35","0.76","4625","4670","4570","107793","498683700","152079000000","32600000"
"012205","계양전기우","7980","30","0.38","8000","8000","7940","1441","11460540","11172000000","1400000"
"002140","고려산업","3690","30","0.82","3635","3690","3600","127326","464466370","92026478250","24939425"
"010130","고려아연","508000","2000","0.40","507000","516000","501000","37984","19320466000","9585960000000","18870000"
"002240","고려제강","27350","1350","5.19","26150","28100","26150","99033","2683285900","629050000000","23000000"
"009290","광동제약","8340","-30","-0.36","8570","8570","8300","441172","3721342890","437189897340","52420851"
"017040","광명전기","3025","15","0.50","3010","3040","2940","554518","1662701335","131096285375","43337615"
"017900","광전자","2910","75","2.65","2840","2910","2835","88541","254052055","168616350330","57943763"
"037710","광주신세계","220500","500","0.23","220000","226500","215500","3669","813552500","352800000000","1600000"
"030610","교보증권","8490","70","0.83","8380","8500","8370","41932","353601470","548906483040","64653296"
"339770","교촌에프앤비","20450","0","0.00","20500","20550","20150","95283","1938960550","510892943000","24982540"
"007690","국도화학","90600","1900","2.14","90000","92600","89400","286702","26080328300","816361809600","9010616"
"005320","국동","2520","70","2.86","2450","2535","2445","502902","1256398125","135944607960","53946273"
"001140","국보","1330","-25","-1.85","1340","1340","1310","728050","961216160","81217169530","61065541"
