,회사명,시가총액,발행주식수,외국인비율,거래량,PER,ROE
122,포스코인터내셔널,"29,425","123,375",10.17,"718,583",9.98,7.69
123,한화생명,"29,356","868,530",7.70,"1,608,325",5.36,1.90
124,만도,"28,879","46,957",25.24,"141,142",12.18,0.37
125,한샘,"28,476","23,534",18.86,"163,626",34.25,10.83
126,휠라홀딩스,"28,098","60,752",47.30,"221,803",11.66,10.94
127,DL이앤씨,"27,199","19,359",26.65,"117,841",N/A,N/A
128,신세계,"27,074","9,845",28.03,"41,596",33.56,-2.81
129,현대로템,"26,685","109,142",5.10,"862,191",78.62,2.84
130,제일기획,"26,575","115,041",33.36,"214,879",14.22,16.11
131,한화,"26,535","74,959",19.02,"357,508",6.80,4.79
132,LG화학우,"26,526","7,689",68.63,"21,338",9.29,N/A
133,BNK금융지주,"26,238","325,935",39.41,"1,152,837",3.88,6.11
134,코오롱인더,"26,223","26,979",21.39,"533,761",19.47,9.70
135,DB하이텍,"25,973","44,399",17.12,"460,404",15.55,23.07
136,효성,"25,812","21,071",9.30,"58,216",16.72,-2.26
137,한화에어로스페이스,"25,619","50,630",19.36,"183,413",9.79,4.78
138,현대차우,"24,966","24,357",58.94,"45,039",7.43,N/A
139,하이트진로,"24,336","70,134",4.78,"265,510",34.73,8.23
140,대한전선,"23,724","856,473",2.15,"50,755,335",-145.79,0.92
141,롯데정밀화학,"23,349","25,800",21.36,"1,006,030",9.52,12.65
142,현대위아,"23,034","27,195",8.32,"183,911",22.67,1.96
143,현대해상,"22,618","89,400",27.43,"255,579",5.86,7.13
144,TIGER,0,"22,603","54,650",0.00,"533,470",N/A
145,TIGER,0,"22,086","121,520",2.31,"4,124,189",N/A
146,LS,"21,896","32,200",14.48,"93,351",8.82,3.94
147,KODEX,0,"21,073","20,480",0.00,"4,435",N/A
148,대웅,"21,047","58,142",3.92,"106,387",22.39,15.10
149,LS,"5,000","20,670","30,000",17.75,"85,229",22.53
150,KODEX,0,"20,299","987,800",5.57,"158,885,215",N/A
151,프레스티지바이오파마,"20,192","60,096",64.31,"1,139,189",-100.00,N/A
152,영원무역,"20,162","44,311",27.76,"205,467",10.76,8.03
153,솔루스첨단소재,"20,097","30,590",8.12,"455,128",-171.09,-5.10
154,현대엘리베이,"19,959","40,815",27.47,"125,076",20.71,9.78
155,현대백화점,"19,307","23,402",19.57,"109,922",14.91,1.65
156,동국제강,"19,134","95,433",23.43,"693,980",6.52,3.35
157,한전기술,"18,919","38,220",2.80,"476,146",91.50,N/A
158,아시아나항공,"18,901","74,412",9.19,"1,059,056",-27.61,-43.83
159,HDC현대산업개발,"18,751","65,907",10.90,"252,478",10.16,8.85
160,오뚜기,"18,654","3,672",12.60,"3,003",21.25,7.93
161,대웅제약,"18,249","11,587",6.91,"26,634",615.23,2.38
162,농심,"17,883","6,083",13.69,"12,359",16.14,7.50
163,PI첨단소재,"17,855","29,366",17.94,"192,816",32.71,15.62
164,한전KPS,"17,528","45,000",9.06,"208,921",17.94,8.23
165,KODEX,0,"17,351","66,800",2.76,"11,541,145",N/A
166,후성,"17,317","92,607",6.77,"4,382,761",173.15,2.79
167,동원시스템즈,"17,216","25,619",1.41,"73,731",31.94,10.97
168,KODEX,0,"17,096","163,600",0.20,"252,004",N/A
169,진원생명과학,"17,067","45,212",12.87,"1,137,921",-79.14,-30.43
170,금호타이어,"17,035","287,260",4.16,"339,369",80.14,-6.74
171,롯데렌탈,"16,943","36,634",0.88,"243,449",23.61,6.73
172,TIGER,0,"16,829","16,776",0.70,482,N/A
173,JB금융지주,"16,645","196,983",40.68,"521,797",3.67,10.06
174,아이에스동서,"16,188","30,893",4.50,"74,953",14.94,10.92
175,두산,"15,962","16,524",11.88,"99,404",-158.10,-34.34
176,DGB금융지주,"15,950","169,146",49.66,"736,285",3.74,6.93
177,한국앤컴퍼니,"15,949","94,935",9.77,"125,306",6.43,5.08
178,한미반도체,"15,926","49,460",6.49,"193,811",21.47,21.03
179,명신산업,"15,662","52,470",3.62,"376,033",-12.94,-67.39
180,솔루엠,"15,652","50,006",8.47,"655,077",39.17,43.26
181,녹십자홀딩스,"15,425","47,028",5.31,"65,064",10.12,19.74
182,부광약품,"15,314","71,063",4.51,"476,462",-136.39,-2.46
183,코스맥스,"15,208","11,350",24.68,"77,579",31.05,6.23
184,대한유화,"15,048","6,500",13.79,"41,602",6.47,6.93
185,DL,"14,942","20,956",15.01,"55,883",2.30,11.84
186,KG동부제철,"14,901","100,009",1.51,"193,006",12.18,7.18
