,시가,종목코드,종목명,중분류,소분류,PBR,EPS,ROE,EV/EBITDA,업종PER,적정가격,시가/적정가격,RANK_평가,RANK_EV/EBITDA,RANK_ROE,VALUE_SCORE
116,67000.0,009450,경동나비엔,내구소비재와의류,가정용기기와용품,2.24,3232.0,12.83,7.96,12.94,41822.08,1.602024576491652,195.0,117.0,61.0,0.5518731988472623
117,28900.0,005850,에스엘,자동차와부품,자동차부품,1.01,1362.0,4.74,3.72,15.19,20688.78,1.396892421882779,172.0,30.0,172.0,0.5504322766570606
118,59300.0,214320,이노션,미디어,광고,1.52,3174.0,8.28,8.09,16.81,53354.939999999995,1.1114247340546162,146.0,119.0,110.0,0.5489913544668589
119,67500.0,145990,삼양사,"식품,음료,담배",식품,0.55,5396.0,5.06,6.75,13.95,75274.2,0.8967215858820153,113.0,96.0,166.0,0.5489913544668589
120,40700.0,020000,한섬,내구소비재와의류,"섬유,의류,신발,호화품",0.8,3455.0,7.85,4.83,6.68,23079.399999999998,1.7634773867604878,205.0,50.0,120.0,0.5489913544668589
121,26200.0,267260,현대일렉트릭,자본재,전기장비,1.12,-1117.0,-5.84,7.26,22.81,-25478.769999999997,-1.0283070964571681,21.0,106.0,250.0,0.5461095100864555
122,63600.0,000100,유한양행,제약과생물공학,제약,2.08,2709.0,11.06,37.07,90.87,246166.83000000002,0.25836137224499334,53.0,253.0,71.5,0.5453890489913545
123,79700.0,005610,SPC삼립,"식품,음료,담배",식품,1.98,-1444.0,-3.98,8.2,13.95,-20143.8,-3.9565523883279226,8.0,122.0,248.0,0.5446685878962537
124,16150.0,003850,보령제약,제약과생물공학,제약,2.48,435.0,8.62,16.2,90.87,39528.450000000004,0.40856648818762176,68.0,206.0,106.0,0.5417867435158503
125,186000.0,268280,미원에스씨,소재,화학,3.72,6726.0,13.58,8.11,15.32,103042.32,1.8050835811926593,207.0,121.0,53.0,0.5403458213256485
126,515000.0,007310,오뚜기,"식품,음료,담배",식품,1.13,29293.0,7.93,7.33,13.95,408637.35,1.2602861681635318,157.0,109.0,117.0,0.5374639769452451
127,40100.0,011000,진원생명과학,제약과생물공학,생물공학,11.5,-468.0,-30.43,-61.69,-95.5,44694.0,0.8972121537566564,114.0,4.0,265.5,0.5367435158501441
128,51600.0,033270,유나이티드제약,제약과생물공학,제약,2.52,1639.0,10.01,22.18,90.87,148935.93,0.34645770164392165,64.0,233.0,87.0,0.5360230547550433
129,38450.0,138040,메리츠금융지주,보험,손해보험,1.27,3587.0,16.06,11.07,8.05,28875.350000000002,1.3315855911703234,168.0,178.0,39.0,0.5345821325648416
130,405500.0,298000,효성화학,소재,화학,1.82,-3641.0,-2.71,8.87,15.32,-55780.12,-7.2696150528181,4.0,139.0,244.0,0.5317002881844382
131,144500.0,005300,롯데칠성,"식품,음료,담배",음료,1.07,-1397.0,-1.0,9.21,21.75,-30384.75,-4.7556751330848535,6.0,148.0,236.0,0.5273775216138329
132,303500.0,017670,SK텔레콤,통신서비스,무선통신서비스,0.86,18631.0,6.44,5.33,10.79,201028.49,1.5097362567862893,188.0,58.5,143.5,0.5273775216138329
